iter	Passed	Remaining
0	1	99
1	2	99
2	3	102
3	4	96
4	4	91
5	5	89
6	6	86
7	7	86
8	8	87
9	9	87
10	10	88
11	12	90
12	13	89
13	14	88
14	15	89
15	16	88
16	17	86
17	18	83
18	19	81
19	19	79
20	20	78
21	21	77
22	22	76
23	23	74
24	24	72
25	24	70
26	25	69
27	26	68
28	27	66
29	28	65
30	28	64
31	29	62
32	30	61
33	30	59
34	31	58
35	32	57
36	33	56
37	33	55
38	34	54
39	35	52
40	35	51
41	36	50
42	36	48
43	37	47
44	38	46
45	39	45
46	39	44
47	40	43
48	41	43
49	42	42
50	42	41
51	43	40
52	44	39
53	44	38
54	45	36
55	45	36
56	46	35
57	47	34
58	48	33
59	48	32
60	49	31
61	50	30
62	50	29
63	51	29
64	52	28
65	53	27
66	53	26
67	54	25
68	55	24
69	56	24
70	56	23
71	57	22
72	58	21
73	59	20
74	59	19
75	60	19
76	61	18
77	61	17
78	62	16
79	63	15
80	64	15
81	64	14
82	65	13
83	66	12
84	66	11
85	67	10
86	68	10
87	68	9
88	69	8
89	70	7
90	71	7
91	71	6
92	72	5
93	73	4
94	74	3
95	74	3
96	75	2
97	76	1
98	76	0
99	77	0
